,CustomerID,Count,City,Zip Code,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,Satisfaction Score,Churn Category,Avg Monthly GB Download,Unlimited Data,Total Long Distance Charges,Referred a Friend,Number of Referrals,Age,Under 30,Population
0,3668-QPYBK,1,Los Angeles,90003,Male,0,0,0,2,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,53.85,108.15,Yes,1,86,3239,Competitor made better offer,1,Competitor,21,1,20.94,0,0,37,0,
1,9237-HQITU,1,Los Angeles,90005,Female,0,0,1,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.7,151.65,Yes,1,67,2701,Moved,2,Other,51,1,18.24,0,0,19,1,
2,9305-CDSKC,1,Los Angeles,90006,Female,0,0,1,8,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.65,820.5,Yes,1,86,5372,Moved,3,Other,26,1,97.2,0,0,31,0,
3,7892-POOKP,1,Los Angeles,90010,Female,0,1,1,28,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.8,3046.05,Yes,1,84,5003,Moved,3,Other,47,1,136.92,0,0,23,1,
4,0280-XJGEX,1,Los Angeles,90015,Male,0,0,1,49,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,Yes,1,89,5340,Competitor had better devices,1,Competitor,11,1,2172.17,0,0,38,0,
5,4190-MFLUW,1,Los Angeles,90020,Female,0,1,0,10,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),55.2,528.35,Yes,1,78,5925,Competitor offered higher download speeds,1,Competitor,69,1,94.1,1,6,21,1,
6,8779-QRDMV,1,Los Angeles,90022,Male,1,0,0,1,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,39.65,39.65,Yes,1,100,5433,Competitor offered more data,3,Competitor,8,0,0.0,0,0,78,0,
7,1066-JKSGK,1,Los Angeles,90024,Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,20.15,Yes,1,92,4832,Competitor made better offer,1,Competitor,0,0,33.58,0,0,29,1,
8,6467-CHFZW,1,Los Angeles,90028,Male,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.35,4749.15,Yes,1,77,5789,Competitor had better devices,1,Competitor,16,1,1473.45,1,1,61,0,
9,8665-UTDHZ,1,Los Angeles,90029,Male,0,1,0,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,30.2,Yes,1,97,2915,Competitor had better devices,1,Competitor,58,1,0.0,1,1,27,1,
10,8773-HHUOZ,1,Los Angeles,90032,Female,0,0,0,17,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,64.7,1093.1,Yes,1,74,3022,Competitor offered higher download speeds,1,Competitor,41,1,689.3499999999999,0,0,20,1,
11,6047-YHPVI,1,Los Angeles,90039,Male,0,0,1,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,316.9,Yes,1,66,2454,Competitor offered higher download speeds,1,Competitor,58,1,63.0,0,0,56,0,
12,5380-WJKOV,1,Los Angeles,90041,Male,0,0,1,34,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.35,3549.25,Yes,1,65,2941,Competitor offered higher download speeds,2,Competitor,28,1,737.46,0,0,51,0,
13,8168-UQWWF,1,Los Angeles,90042,Female,0,0,1,11,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,Yes,1,70,5674,Competitor offered more data,3,Competitor,18,1,303.27,0,0,48,0,
14,7760-OYPDY,1,Los Angeles,90056,Female,0,0,1,2,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.65,144.15,Yes,1,90,5586,Competitor offered more data,1,Competitor,19,0,11.7,0,0,32,0,
15,9420-LOJKX,1,Los Angeles,90061,Female,0,0,1,15,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.1,1426.4,Yes,1,82,2966,Competitor offered more data,1,Competitor,20,1,59.4,0,0,34,0,
16,7495-OOKFY,1,Los Angeles,90063,Female,1,1,1,8,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.65,633.3,Yes,1,69,5302,Competitor made better offer,3,Competitor,17,1,390.8,1,1,74,0,
17,1658-BYGOY,1,Los Angeles,90065,Male,1,0,1,18,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,1752.55,Yes,1,81,3179,Competitor made better offer,2,Competitor,52,1,203.94,0,0,71,0,
18,5698-BQJOH,1,Beverly Hills,90211,Female,0,0,1,9,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,94.4,857.25,Yes,1,96,5571,Price too high,3,Price,29,1,244.89000000000001,0,0,41,0,
19,5919-TMRGD,1,Huntington Park,90255,Female,0,0,1,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.35,79.35,Yes,1,87,2483,Product dissatisfaction,1,Competitor,57,1,13.13,0,0,32,0,
